japanese,english
消える,disappear
激しい,intense
短い,short
薬,medicine
試合,game
成長,growth
おなか,stomach
機能,function
ボール,ball
少年,boy
方向,direction
遅い,slow
資料,Document
タイプ,type
扱う,deal
指摘,indicate
ヨーロッパ,Europe
除く,except
それら,Them
ご存じ,Know
意外,Unexpectedly
一週間,one week
何回,How many times
政府,government
分ける,Divide
計画,plan
段階,step
量,amount
田舎,country
感動,Impressive
スポーツ,Sports
感覚,feelings
地元,local
勝手,selfish
さすが,Truly
寂しい,lonely
再び,again
利く,Be advanced
勤める,serve
吸う,inhale
流す,Pour
希望,Hope
急,Sudden
勧める,recommend
年齢,age
フランス,France
仕方,Way
なし,none
さて,Now
疲れる,Be tired
落とす,Drop
人気,popular
弱い,weak
まとめる,Summarize
格好,form
渡る,Be overwhelmed
患者,patient
壁,wall
道路,road
参る,Be
反対,oppose
他人,others
提供,Providing
空気,air
去年,last year
肩,shoulder
知れる,Be known
匂い,odor
銀行,Bank
実現,realization
ありがとう,Thank you
購入,purchase
十年,Ten years
右,right
全体,whole
話題,topic
認識,recognition
安心,relief
雪,snow
ポイント,point
十,Ten
仲間,fellow
かつ,And
知識,knowledge
多少,Somewhat
緑,green
解決,Solution
狭い,narrow
一時間,one hour
失敗,Failure
いきなり,Suddenly
成功,success
マンション,apartment
協力,Cooperation
伯父,uncle
時々,Sometimes
産む,Give birth
卒業,graduation
降る,Get down
野菜,vegetable
自分自身,myself
報告,report
落ち着く,calm down
決定,Decision
割合,ratio
移動,Migration
いまだ,Still
血,blood
応ずる,Handle
涙,tears
表情,Expression
ああ,Oh
逃げる,run away
次第,depend on
楽,easy
やがて,Soon
ではありません,Not
かつて,Once
ごみ,garbage
警察,police
兄,Brother
くれる,Give
代わり,Substitute
外国,foreign country
細かい,Detailed
静か,quiet
腰,Hip
開催,hold
瞬間,moment
近付く,approach
わずか,Small
暗い,dark
届く,reach
窓,window
ストレス,stress
伸ばす,extend
ドア,door
森,Woods
目標,Target
本来,Originally
重い,heavy
変更,change
感謝,Gratitude
腕,arm
手術,Surgery
当たり前,obvious
時点,Time
一日,one day
馬鹿,fool
忙しい,busy
おく,back
愛する,love
それでは,So
遠い,far
苦労,Hardship
押さえる,Hold down
課題,Task
とともに,With
見つかる,Be found
うそ,lie
仰る,Say
主張,Claim
施設,institution
チェック,check
一ヶ月,one month
ものの,But
展開,Development
事業,business
データ,data
役,Role
伸びる,extend
通常,generally
ピアノ,piano
行為,action
悩む,to worry
第二,second
議論,Discussion
記録,record
当てる,Hit
出来事,event
温かい,warm
おかげ,Thanks
安全,safety
眺める,Look at
いかに,How
設置,Installation
極めて,extremely
入院,hospitalization
積極的,positive
事故,accident
たたく,Strike
としても,As well
会話,conversation
方々,Persons
要る,need
鳥,bird
何とか,somehow
市,city
眠る,sleep
自信,Confidence
固い,Hard
戦後,After the war
値段,price
通じる,Communicate
動かす,move
トイレ,toilet
あんな,Such a thing
避ける,avoid
お勧め,Recommendation
野球,baseball
穴,hole
クリック,click
捕らえる,capture
昨年,last year
減少,Decline
洗う,wash
左,left
珍しい,rare
尋ねる,ask
一言,Word
男の子,boy
制度,system
買い物,shopping
チーム,team
登場,Appearance
期間,period
金額,Amount of money
塩,salt
奥,Deep
九,Nine
まだまだ,not yet
習う,learn
番組,program
一時,Time
ケース,Case
傾向,tendency
日々,day to day
拡大,expansion
レベル,level
よろしく,nice to meet you
疑問,Question
それなり,Reasonable
現状,status quo
ドイツ,Germany
取り上げる,take up
主に,mainly
伯母,aunt
パン,bread
クラス,class
肉,meat
なるべく,As much as possible
指,finger
態度,attitude
地,Earth
全国,Whole country
答え,answer
世話,care
差,difference
一切,All
食う,Eat
文章,Sentence
背景,background
負担,load
事情,Situation
メンバー,member
ようやく,at last
地方,Region
豊か,rich
助ける,help
詰まる,Be clogged
一個,one
大阪,Osaka
果たす,Fulfill
支える,support
抱える,Hold
大分,Oita
追う,Pursue
権利,right
何々,what
計算,Calculation
痛み,pain
返す,return
庭,garden
納得,agreement
組織,Organization
能力,ability
人口,population
薄い,thin
注,note
二回,Twice
治療,Treatment
昼,noon
を通じて,Through
せっかく,Much
赤い,red
比較的,Relatively
サービス,service
何人,How many people
荷物,load
魅力,charm
現場,Site
道具,tool
遠く,far away
中学,Junior high school
村,village
システム,system
あそこ,over there
十時,Ten o'clock
息,breath
伝わる,Be transmitted
撮影,photograph
指導,Guidance
生かす,Make use of
韓国,Korea
字,Character
指定,specify
経営,management
あらゆる,every
価値,worth
南,South
成立,Establishment
季節,season
導入,introduction
ことにする,Decide
一枚,one sheet
い,stomach
先輩,upperclassman
全員,All
にしても,even if
四人,Four people
人物,person
距離,distance
泊まる,stay
充実,fullness
によると,according to
コミュニケーション,communication
散歩,stroll
グループ,group
黒い,black
九時,Nine o'clock
石,stone
エネルギー,energy
挨拶,Greeting
愛,Love
比較,Comparison
結ぶ,tie
移る,Transfer
従来,Conventional
嫌い,Hate
注目,attention
携帯,Mobile phone
休む,rest
甘い,sweet
最高,Best
弟,Younger brother
卵,egg
服,clothes
赤ちゃん,baby
始め,start
要求,request
紙,paper
妹,sister
額,amount
交ぜる,mix
抱く,Embrace
出来上がる,Be finished
小説,novel
訪れる,visit
汗,Sweat
特別,special
改善,Improvement
休み,holiday
咲く,bloom
基本,Basics
暑い,hot
向く,Face
ますます,more and more
最終的,Final
感情,Emotion
我慢,patience
浮かぶ,Be floated
利益,Profit
先日,the other day
裏,back
もたらす,Bring
姉,sister
問う,Ask
継ぐ,Succeed
北海道,Hokkaido
構成,Constitution
反応,reaction
ナイフ,knife
じいさん,Grandfather
新宿,Shinjuku
活用,exercise
正直,honest
黒,black
スーパー,Supermarket
プロ,Professional
渡す,hand over
掲げる,Raise
京都,Kyoto
就職,find work
立派,fine
舞台,stage
現地,local
数字,Number
提出,Submission
コンピューター,computer
東京都,Tokyo
から,from
弾く,play
自宅,one's home
腹,stomach
喜び,joy
しようがない,can not help it
風呂,bath
香り,scent
スキー,Skiing
構う,Be careless
受け入れる,accept
お菓子,snack
無料,free
付き合い,Dating
私共,Our
被害,damage
椅子,Chair
直す,fix
桜,Cherry Blossoms
回答,Answer
ゲーム,game
ことはない,There is nothing
個人的,Personal
活躍,action
試験,test
身近,Familiarity
苦しい,baffling
恥ずかしい,Embarrassed
金,Money
ただ,However
検査,test
皮,leather
白,White
足りる,Be sufficient
代表,representative
夕方,evening
下がる,Go down
実感,Reality
有する,Have
抜く,Pull out
回す,turn
敵,enemy
側,~ side
分かれる,Be separated
見つめる,stare
祭り,festival
抜ける,Get out
仕様,specification
最大,maximum
スタート,start
なり,In
沖縄,Okinawa
設ける,prepare
でもって,By all
幼稚園,kindergarten
二度,Two degrees
処理,process
困難,Difficulty
あくまで,Only
分野,Field
間違う,Make a mistake
姿勢,posture
ショック,shock
暇,free
つい,unintentionally
土,soil
隠す,hide
緊張,tension
それとも,Or
帰り,Return
三日,three days
戦う,fight
単に,simply
席,seat
つる,Vine
達する,Reach
小学生,Elementary school student
ついに,finally
具合,Condition
歯,teeth
ベッド,bed
無事,Safely
身体,body
何年,What year
星,Star
携帯電話,cell phone
砂糖,sugar
切れる,Be cut off
維持,Maintaining
高さ,height
太陽,Sun
会場,venue
素敵,splendid
湯,Hot water
そもそも,in the first place
約束,promise
ワイン,wine
高校生,high school student
イベント,event
二日,two days
売れる,sell
少なくとも,at least
米国,usa
周囲,Surroundings
伺う,Ask
引っ越す,move
二十年,20 years
たまる,Accumulate
精神的,Mental
中学校,junior high school
仲良く,Close
言い方,Way of saying
バランス,balance
五年,Five years
安定,Stability
完成,Complete
我が家,My home
見かける,see
広げる,spread
参考,reference
たとえ,example
受け取る,receive
冷たい,cold
望む,Want
適用,Apply
宗教,religion
一年間,One year period
範囲,range
接する,Be in contact with
戻す,return
すっかり,Completely
低下,Decline
政治,Politics
なんら,Any
取り組む,work on
余裕,room
パリ,Paris
にて,At
奥さん,Wife
遅れる,Be delayed
担当,responsible person
向上,Improvement
機械,machine
CD,CD
寄る,Approach
都市,City
費用,cost
運転,drive
生地,material
さあ,here we go
だけでなく,but also
予想,Predict
一層,More
旦那,husband
経る,Pass
揃う,Be prepared
下げる,Lower
誘う,Invite
重ねる,Repeat
採用,Recruitment
価格,price
飾る,decorate
がん,cancer
土,soil
週,week
細い,thin
直る,Fix
単純,Simple
ファックス,fax
アルバイト,part-time job
北,North
一生,lifetime
ファン,fan
及ぶ,Be
後,rear
調子,condition
基準,standard
植物,plant
契約,Agreement
組む,Assemble
叫ぶ,call out
若者,Youth
手段,means
下ろす,Put down
明治,Meiji
形成,Formation
マンガ,manga
ドラマ,Drama
いよいよ,Finally
高齢者,senior citizen
無駄,Useless
髪,hair
管理,management
サッカー,Football
工場,plant
正確,correct
夫婦,couple
監督,directed by
鍋,pot
バイト,Part-Time Job
十分,sufficient
外す,remove
何でも,anything
階段,Stairs
オーストラリア,Australia
そこで,Therefore
オーケー,Ok
発達,development
適当,properness
戦い,Fight
はさむ,Put on
鼻,nose
会,Meeting
数年,A few years
現代,present day
回復,recovery
すみません,excuse me
コーヒー,coffee
塗る,paint
老人,Old man
共通,common
一瞬,for a moment
面倒,troublesome
開始,start
翌日,the next day
しまう,Be
商店街,Shopping street
原則,principle
販売,sale
諦める,give up
場面,scene
障害,hindrance
やや,kind of
一定,Constant
いかが,How
上手,good
関連,connection
笑顔,smile
真ん中,middle
ビール,Beer 
正月,New Year
すら,Only
デザイン,design
わざわざ,Bother
あふれる,Be overflowing
葉,leaf
種,seed
迷惑,bothersome
つかむ,Grab
締める,Tighten
ラジオ,radio
入る,come in
じっと,As a result
うなずく,Nod
餌,feed
背中,back
両方,both
床,floor
囲む,surround
並べる,Arrange
黙る,Be silent
きり,Dignity
風景,Landscape
ごとし,All
保存,keep
社長,president
目立つ,stand out
保護,protection
確実,certainty
経済,Economy
等,etc
演奏,Performance
増やす,increase
温泉,hot spring
工夫,Device
触る,touch
教室,classroom
登録,register
長さ,length
資格,Qualification
明確,Clear
記載,description
肌,skin
倒れる,Fall down
症状,Symptoms
普及,Spread
すると,Then
優れる,Be excellent
返事,reply
職場,workplace
取り出す,Take out
骨,Bone
平和,peace
間違い,error
まい,dance
けんか,fight
偉い,great
くださる,Give me
熱い,hot
当日,On the day
残り,remaining
支援,support
実行,execution
握る,Hold
出会い,encounter
体重,body weight
上司,boss
結論,Conclusion
け,hair
テーブル,table
盛ん,Prosperous
急ぐ,Hurry
ともかく,anyway
犯人,culprit
熱,heat
犯罪,crime
批判,Criticism
出発,departure
遊び,play
教師,teacher
横浜,Yokohama
脳,brain
レストラン,restaurant
そろそろ,gradually
日曜日,Sunday
けが,Injury
兄弟,Brother
楽器,instrument
保つ,keep
自動車,Automobile
ほんの,only
カメラ,camera
寺,temple
ビデオ,video
適切,appropriate
見事,Brilliant
底,bottom
刺激,Stimulation
勢い,Momentum
吹く,Blow
今日,today
迷う,Get lost
背,Back
生,Raw
訴える,bring the action
精神,spirit
把握,Grasp
対する,Vain
十二,twelve
じゃ,well
地震,earthquake
応援,support
人類,Human race
上昇,rise
空間,space
複雑,complicated
特定,identification
高める,Enhance
以外,apart from
観点,Point of view
努める,Make an effort
二時間,Two hours
きつい,tight
祖母,grandmother
プラス,plus
大抵,usually
狙う,Aim
知り合い,acquaintance
迫る,Approach
どうぞ,please
消す,erase
唯一,Only
連中,People
青い,blue
終了,end
をもって,With
前提,Prerequisite
四つ,four
未来,future
僕ら,we
立ち上がる,stand up
同,same
推移,Transition
なくす,lose
有効,Effectiveness
次々,One by one
上で,Above
国内,Domestic
が,But
都合,circumstances
主な,main
ふと,Suddenly
四年,four years
無視,ignore
一気,At a glance
手続き,procedure
波,wave
仲,Friendship
中学生,Middle school students
イタリア,Italy
のぞく,Look into
誕生,birth
汚い,dirty
畑,field
履く,wear
膝,knees
提案,suggestion
業務,business
幸い,Happily
かわいそう,Poor
画像,image
孫,Grandchild
つなぐ,hook up
包む,Wrap
思い切る,Make up for
事態,situation
夜中,Midnight
改める,change
集中,concentration
両手,both hands
指示,Instruction
結婚式,wedding
虫,insect
バイク,bike
確立,Establishment
到着,arrival
かく,write
痩せる,lose weight
親父,father
なくてはいけない,I have to
試す,try
終える,End
遥か,far
受験,Taking the exam
医師,Doctor
バンド,band
体力,Physical strength
国家,Nation
ソフト,soft
長男,Eldest son
0,0
さっき,some time ago
ごく,Very much
入力,input
CM,CM
十一,eleven
チャンス,chance
別れる,break up
昼間,Daytime
生産,production
要,Key
収める,Put in
掃除,cleaning
強化,Enhancement
主婦,housewife
徐々,gradually
メーカー,Manufacturer
あり得る,could be
記す,Write down
うわさ,Rumor
保険,insurance
規制,Regulation
もの,thing
感想,thoughts
左右,Left and right
促進,Promotion
景色,view
味わう,taste
アジア,Asia
交流,Alternating current
報道,Report
当初,Beginning
インド,India
観察,observation
電気,Electricity
癖,habit
たいした,Trivial
あり方,Gain
どころ,Point
好み,Preference
はまる,Mock
早速,immediately
支払う,pay
市民,Citizen
メリット,merit
近年,recent years
分かりやすい,Easy to understand
製品,product
果たして,Truly
得意,good at
二週間,two weeks
問い合わせ,inquiry
あっ,Ah
何だか,somehow
過程,process
仕組み,structure
慌てる,panic
ざるを得ない,I have to do it
措置,Measure
油,oil
半年,Half a year
視線,Gaze
構造,structure
筋肉,muscle
少々,a little
対策,measures
濃い,dark
異常,Abnormality
図書館,library
靴,shoes
おそれ,Fear
二階,Upstairs
あえて,Dare
三回,Three times
引っ越し,moving
失礼,impoliteness
太る,Get fat
街,Town
いったん,Once
取り入れる,Incorporate
モテる,motel
都会,Urban
大量,Mass of large quantities
発言,comment
炒める,stir fry
投げる,throw
玄関,Entrance
一種,One species
世代,generation
にあたって,For
申し込み,application
高まる,Increase
証明,Proof
沸く,Boil
必死,Desperate
真剣,Sincerity
まさか,No way
ごめんなさい,sorry
画面,screen
米,Rice
成果,Outcome
物語,story
日時,Date and time
来年,next year
巻く,Roll up
こっち,here
必ずしも,necessarily
たっぷり,plenty
はやる,Do
恐ろしい,That's horrible
中身,inside
スピード,speed
一歩,one step
牛乳,milk
否定,denial
踏まえる,Take into account
若干,Slightly
箱,box
テニス,tennis
アパート,Apartment
面接,interview
住民,residents
て参る,Be
ギター,guitar
要素,element
泳ぐ,swim
大勢,in great numbers
習慣,Habit
込める,Put in
風邪,cold
調整,Adjustment
踊る,dance
とも,friend
タクシー,taxi
教会,Church
攻撃,attack
五時,Five o'clock
